row_id,predicted_churn_risk,reason_rank,feature,feature_contribution
3121,0.718682,1,churn_risk_proxy,0.901885
3121,0.718682,2,is_new_customer_0_6m,0.568568
3121,0.718682,3,is_month_to_month,0.408107
1806,0.717945,1,churn_risk_proxy,0.944182
1806,0.717945,2,is_new_customer_0_6m,0.568568
1806,0.717945,3,is_month_to_month,0.408107
4066,0.717069,1,churn_risk_proxy,0.944182
4066,0.717069,2,is_new_customer_0_6m,0.568568
4066,0.717069,3,is_month_to_month,0.408107
887,0.716778,1,churn_risk_proxy,0.626959
887,0.716778,2,is_new_customer_0_6m,0.568568
887,0.716778,3,is_month_to_month,0.408107
2420,0.711386,1,churn_risk_proxy,0.626959
2420,0.711386,2,is_new_customer_0_6m,0.568568
2420,0.711386,3,is_month_to_month,0.408107
408,0.710772,1,churn_risk_proxy,1.113367
408,0.710772,2,is_new_customer_0_6m,0.568568
408,0.710772,3,is_month_to_month,0.408107
6008,0.709928,1,churn_risk_proxy,0.626959
6008,0.709928,2,is_new_customer_0_6m,0.568568
6008,0.709928,3,is_month_to_month,0.408107
1075,0.709595,1,is_new_customer_0_6m,0.568568
1075,0.709595,2,churn_risk_proxy,0.563515
1075,0.709595,3,is_month_to_month,0.408107
4314,0.708232,1,churn_risk_proxy,0.774996
4314,0.708232,2,is_new_customer_0_6m,0.568568
4314,0.708232,3,is_month_to_month,0.408107
2394,0.707565,1,churn_risk_proxy,0.796145
2394,0.707565,2,is_new_customer_0_6m,0.568568
2394,0.707565,3,is_month_to_month,0.408107
