customerID,churn_probability,churn_predicted,risk_tier,segment_label,discounted_lifetime_value,actual_churn
ID-003122,0.7197,1,Critical,Low Engagement Churn Risk,1982.2,0
ID-000907,0.7192,1,Critical,Low Engagement Churn Risk,4303.97,1
ID-001409,0.7172,1,Critical,Low Engagement Churn Risk,2363.74,0
ID-004982,0.7165,1,Critical,Low Engagement Churn Risk,2297.28,1
ID-002164,0.7161,1,Critical,High Value Loyalists,3508.4,1
ID-001914,0.7135,1,Critical,Low Engagement Churn Risk,3171.75,1
ID-000423,0.7125,1,Critical,Low Engagement Churn Risk,1929.37,1
ID-002395,0.7117,1,Critical,High Value Loyalists,5316.68,0
ID-003453,0.7099,1,Critical,Low Engagement Churn Risk,4647.99,1
ID-006837,0.7054,1,Critical,Low Engagement Churn Risk,3167.83,1
ID-004856,0.7043,1,Critical,Low Engagement Churn Risk,3917.39,1
ID-003354,0.703,1,Critical,Low Engagement Churn Risk,2801.35,1
ID-002792,0.6994,1,Critical,Low Engagement Churn Risk,3418.8,0
ID-006459,0.6986,1,Critical,Low Engagement Churn Risk,1727.98,0
ID-001218,0.6983,1,Critical,Low Engagement Churn Risk,4331.53,1
ID-006449,0.6978,1,Critical,High Value Loyalists,1250.8,0
ID-001326,0.6951,1,Critical,Low Engagement Churn Risk,2290.23,0
ID-004315,0.6943,1,Critical,Low Engagement Churn Risk,3870.69,1
ID-003729,0.6938,1,Critical,Low Engagement Churn Risk,3899.93,0
ID-005026,0.6934,1,Critical,Low Engagement Churn Risk,1356.19,1
ID-004592,0.6901,1,Critical,Low Engagement Churn Risk,3624.61,1
ID-004915,0.6899,1,Critical,Low Engagement Churn Risk,3996.83,1
ID-003686,0.6884,1,Critical,Low Engagement Churn Risk,880.24,1
ID-002748,0.6875,1,Critical,Low Engagement Churn Risk,2340.79,1
ID-005304,0.6871,1,Critical,Low Engagement Churn Risk,3096.78,1
ID-002386,0.687,1,Critical,Low Engagement Churn Risk,1559.21,1
ID-002324,0.6864,1,Critical,High Value Loyalists,2505.23,1
ID-002990,0.6839,1,Critical,Low Engagement Churn Risk,3843.18,1
ID-004440,0.6827,1,Critical,Low Engagement Churn Risk,1319.6,1
ID-001116,0.6827,1,Critical,Low Engagement Churn Risk,3302.6,1
ID-004358,0.6808,1,Critical,Low Engagement Churn Risk,3803.35,1
ID-003817,0.6797,1,Critical,High Value Loyalists,3079.44,1
ID-004333,0.6735,1,Critical,Low Engagement Churn Risk,843.78,0
ID-004687,0.6701,1,Critical,High Value Loyalists,5198.74,1
ID-001299,0.6675,1,Critical,High Value Loyalists,5468.64,0
ID-006009,0.6641,1,Critical,Low Engagement Churn Risk,1802.21,1
ID-000445,0.6631,1,Critical,Low Engagement Churn Risk,1632.36,1
ID-000067,0.6626,1,Critical,Low Engagement Churn Risk,1523.62,1
ID-006718,0.6622,1,Critical,Low Engagement Churn Risk,2431.35,0
ID-005625,0.6615,1,Critical,Low Engagement Churn Risk,3968.16,0
ID-002984,0.6615,1,Critical,Low Engagement Churn Risk,1625.62,1
ID-001519,0.6613,1,Critical,Low Engagement Churn Risk,4287.27,1
ID-002421,0.6599,1,Critical,Low Engagement Churn Risk,2612.28,1
ID-001858,0.6589,1,Critical,Low Engagement Churn Risk,2165.94,1
ID-001078,0.6522,1,Critical,Low Engagement Churn Risk,3826.23,0
ID-006106,0.6514,1,Critical,Low Engagement Churn Risk,1030.61,1
ID-000872,0.648,1,Critical,Low Engagement Churn Risk,3393.69,1
ID-005089,0.6473,1,Critical,Low Engagement Churn Risk,1748.27,1
ID-004258,0.6453,1,Critical,Low Engagement Churn Risk,2276.79,1
ID-000612,0.645,1,Critical,High Value Loyalists,4098.89,0
ID-000643,0.6444,1,Critical,Low Engagement Churn Risk,1920.23,1
ID-005885,0.6435,1,Critical,Low Engagement Churn Risk,4283.84,0
ID-000506,0.6433,1,Critical,Low Engagement Churn Risk,3598.41,1
ID-003611,0.641,1,Critical,Low Engagement Churn Risk,4913.1,1
ID-003485,0.6409,1,Critical,High Value Loyalists,5117.52,0
ID-000216,0.6401,1,Critical,Low Engagement Churn Risk,3893.98,0
ID-002012,0.639,1,Critical,Low Engagement Churn Risk,1113.53,1
ID-001076,0.6377,1,Critical,Low Engagement Churn Risk,4288.83,1
ID-000888,0.6367,1,Critical,High Value Loyalists,3903.58,1
ID-005566,0.6339,1,Critical,Low Engagement Churn Risk,1225.13,0
ID-004331,0.632,1,Critical,Low Engagement Churn Risk,2505.14,1
ID-006979,0.6319,1,Critical,Low Engagement Churn Risk,1200.77,0
ID-005436,0.6312,1,Critical,Low Engagement Churn Risk,3005.94,0
ID-006292,0.63,1,Critical,Low Engagement Churn Risk,4878.16,1
ID-003439,0.6294,1,Critical,High Value Loyalists,2810.34,1
ID-005246,0.6281,1,Critical,Low Engagement Churn Risk,3400.44,1
ID-003827,0.6263,1,Critical,Low Engagement Churn Risk,2298.18,1
ID-002630,0.6231,1,Critical,Low Engagement Churn Risk,3431.16,0
ID-002111,0.6219,1,Critical,Low Engagement Churn Risk,2931.34,1
ID-005177,0.6215,1,Critical,Low Engagement Churn Risk,2772.86,1
ID-004557,0.6214,1,Critical,High Value Loyalists,1958.0,1
ID-003903,0.6212,1,Critical,Low Engagement Churn Risk,4320.09,1
ID-001969,0.6208,1,Critical,Low Engagement Churn Risk,1795.05,0
ID-006836,0.6201,1,Critical,Low Engagement Churn Risk,4313.39,0
ID-002728,0.6186,1,Critical,Low Engagement Churn Risk,2296.56,1
ID-001170,0.6158,1,Critical,Low Engagement Churn Risk,3546.92,1
ID-002325,0.6148,1,Critical,Low Engagement Churn Risk,3945.5,1
ID-005216,0.6146,1,Critical,Low Engagement Churn Risk,1656.81,1
ID-001236,0.6136,1,Critical,Low Engagement Churn Risk,3357.93,1
ID-002953,0.6132,1,Critical,Low Engagement Churn Risk,3909.54,1
ID-004943,0.613,1,Critical,Low Engagement Churn Risk,3183.85,0
ID-000121,0.6115,1,Critical,Low Engagement Churn Risk,4621.21,1
ID-002380,0.6087,1,Critical,Low Engagement Churn Risk,1296.6,1
ID-000485,0.6079,1,Critical,High Value Loyalists,5481.11,1
ID-004208,0.6038,1,Critical,Low Engagement Churn Risk,3080.37,0
ID-003053,0.603,1,Critical,Low Engagement Churn Risk,1807.88,1
ID-005668,0.6018,1,Critical,High Value Loyalists,5363.39,0
ID-004039,0.6001,1,Critical,High Value Loyalists,2978.23,0
ID-006312,0.5996,1,High,High Value Loyalists,5052.95,0
ID-001866,0.5952,1,High,High Value Loyalists,3909.04,1
ID-001487,0.5951,1,High,Low Engagement Churn Risk,5321.53,0
ID-004144,0.5929,1,High,Low Engagement Churn Risk,2574.63,1
ID-000751,0.5911,1,High,Low Engagement Churn Risk,2543.12,1
ID-004668,0.5911,1,High,High Value Loyalists,5736.91,0
ID-000086,0.5898,1,High,Low Engagement Churn Risk,4523.72,0
ID-006319,0.5893,1,High,Low Engagement Churn Risk,4290.85,0
ID-004335,0.5889,1,High,Low Engagement Churn Risk,3649.68,1
ID-003502,0.5873,1,High,High Value Loyalists,1031.65,0
ID-000200,0.5871,1,High,Low Engagement Churn Risk,1062.82,1
ID-000752,0.5867,1,High,Low Engagement Churn Risk,4260.58,0
ID-002066,0.584,1,High,Low Engagement Churn Risk,4609.42,0
ID-000255,0.5839,1,High,High Value Loyalists,3216.4,0
ID-004585,0.5838,1,High,High Value Loyalists,5012.22,0
ID-005623,0.5836,1,High,Low Engagement Churn Risk,3346.09,0
ID-000548,0.5808,1,High,High Value Loyalists,971.05,0
ID-000066,0.5801,1,High,High Value Loyalists,4156.9,0
ID-005876,0.5781,1,High,High Value Loyalists,5554.62,1
ID-005295,0.5776,1,High,Low Engagement Churn Risk,4445.94,0
ID-000416,0.5774,1,High,Low Engagement Churn Risk,3274.15,1
ID-000417,0.5764,1,High,Low Engagement Churn Risk,3067.05,0
ID-001202,0.5753,1,High,Low Engagement Churn Risk,2348.43,1
ID-002022,0.575,1,High,Low Engagement Churn Risk,1862.48,0
ID-000331,0.5749,1,High,Low Engagement Churn Risk,1674.33,1
ID-003483,0.5748,1,High,Low Engagement Churn Risk,2165.69,1
ID-001106,0.5728,1,High,Low Engagement Churn Risk,2384.12,1
ID-000520,0.5716,1,High,Low Engagement Churn Risk,3693.35,0
ID-001490,0.5714,1,High,Low Engagement Churn Risk,4853.0,1
ID-003804,0.5712,1,High,Low Engagement Churn Risk,5489.2,0
ID-006251,0.5709,1,High,High Value Loyalists,2287.31,0
ID-004104,0.5702,1,High,Low Engagement Churn Risk,3602.91,0
ID-000294,0.5692,1,High,High Value Loyalists,2348.9,0
ID-001905,0.5675,1,High,Low Engagement Churn Risk,3999.35,0
ID-006794,0.5671,1,High,High Value Loyalists,2190.95,0
ID-003152,0.5669,1,High,Low Engagement Churn Risk,3261.96,1
ID-004568,0.5665,1,High,Low Engagement Churn Risk,3514.47,1
ID-000529,0.5662,1,High,Low Engagement Churn Risk,1773.0,0
ID-003051,0.566,1,High,High Value Loyalists,4644.16,1
ID-002188,0.5652,1,High,Low Engagement Churn Risk,3713.7,0
ID-002570,0.5645,1,High,Low Engagement Churn Risk,2431.47,0
ID-001659,0.5622,1,High,High Value Loyalists,2068.27,1
ID-002586,0.5614,1,High,Low Engagement Churn Risk,1974.27,0
ID-007026,0.5607,1,High,Low Engagement Churn Risk,4410.08,1
ID-000624,0.5593,1,High,Low Engagement Churn Risk,4576.35,1
ID-004734,0.5579,1,High,Low Engagement Churn Risk,1669.21,0
ID-006170,0.5571,1,High,High Value Loyalists,5937.08,1
ID-001588,0.556,1,High,Low Engagement Churn Risk,2112.13,1
ID-003456,0.5555,1,High,Low Engagement Churn Risk,2207.6,0
ID-006461,0.5542,1,High,High Value Loyalists,2798.57,0
ID-006330,0.5537,1,High,High Value Loyalists,1966.94,0
ID-001354,0.5533,1,High,Low Engagement Churn Risk,2858.05,0
ID-005292,0.553,1,High,High Value Loyalists,3232.54,0
ID-004650,0.5523,1,High,High Value Loyalists,1685.81,1
ID-002810,0.5517,1,High,Low Engagement Churn Risk,1177.17,1
ID-005109,0.5514,1,High,Low Engagement Churn Risk,2699.93,0
ID-000127,0.5504,1,High,Low Engagement Churn Risk,1793.35,1
ID-004564,0.5501,1,High,High Value Loyalists,2738.32,0
ID-001130,0.5498,1,High,Low Engagement Churn Risk,3492.58,1
ID-006553,0.5497,1,High,Low Engagement Churn Risk,3796.2,1
ID-004395,0.5487,1,High,High Value Loyalists,3520.62,1
ID-006523,0.5477,1,High,Low Engagement Churn Risk,4135.3,0
ID-000728,0.5475,1,High,Low Engagement Churn Risk,5195.78,1
ID-003362,0.5471,1,High,High Value Loyalists,2987.66,1
ID-002346,0.546,1,High,Low Engagement Churn Risk,3143.1,0
ID-006970,0.5458,1,High,Low Engagement Churn Risk,4646.73,0
ID-005165,0.5453,1,High,Low Engagement Churn Risk,4291.32,0
ID-000433,0.5443,1,High,Low Engagement Churn Risk,3754.79,1
ID-006555,0.5441,1,High,Low Engagement Churn Risk,5288.47,1
ID-004097,0.5436,1,High,Low Engagement Churn Risk,4978.75,1
ID-005431,0.5415,1,High,Low Engagement Churn Risk,764.97,0
ID-003841,0.5409,1,High,High Value Loyalists,3312.51,0
ID-002202,0.5408,1,High,Low Engagement Churn Risk,2730.16,0
ID-005611,0.54,1,High,Low Engagement Churn Risk,4076.48,1
ID-004391,0.5393,1,High,High Value Loyalists,5715.55,0
ID-003839,0.539,1,High,High Value Loyalists,2612.65,1
ID-004310,0.5389,1,High,Low Engagement Churn Risk,1123.6,0
ID-003210,0.5383,1,High,Low Engagement Churn Risk,2655.9,1
ID-003543,0.5378,1,High,High Value Loyalists,4285.54,0
ID-005744,0.5375,1,High,Low Engagement Churn Risk,838.31,1
ID-005317,0.5375,1,High,Low Engagement Churn Risk,2877.8,0
ID-002695,0.5367,1,High,Low Engagement Churn Risk,4049.6,0
ID-000321,0.5365,1,High,Low Engagement Churn Risk,3506.14,1
ID-001950,0.5356,1,High,Low Engagement Churn Risk,1127.33,1
ID-000865,0.5354,1,High,Low Engagement Churn Risk,4116.94,0
ID-004131,0.5345,1,High,Low Engagement Churn Risk,3762.24,1
ID-000007,0.534,1,High,High Value Loyalists,5719.03,1
ID-003889,0.5333,1,High,Low Engagement Churn Risk,2261.62,1
ID-000661,0.5323,1,High,Low Engagement Churn Risk,3655.12,0
ID-005797,0.5322,1,High,Low Engagement Churn Risk,2511.21,0
ID-003289,0.5317,1,High,Low Engagement Churn Risk,4734.82,1
ID-004515,0.5314,1,High,High Value Loyalists,3039.32,1
ID-004591,0.5312,1,High,Low Engagement Churn Risk,4653.66,1
ID-003374,0.531,1,High,High Value Loyalists,2102.54,0
ID-004045,0.5305,1,High,Low Engagement Churn Risk,3282.06,1
ID-004125,0.5304,1,High,High Value Loyalists,3436.18,1
ID-004850,0.5304,1,High,Low Engagement Churn Risk,3655.59,1
ID-000538,0.5303,1,High,Low Engagement Churn Risk,3882.6,0
ID-003557,0.5292,1,High,Low Engagement Churn Risk,2224.53,0
ID-004674,0.5274,1,High,Low Engagement Churn Risk,2865.59,1
ID-002172,0.5272,1,High,Low Engagement Churn Risk,4150.67,0
ID-000284,0.5267,1,High,Low Engagement Churn Risk,1696.22,0
ID-006853,0.5264,1,High,Low Engagement Churn Risk,934.85,1
ID-004120,0.5255,1,High,Low Engagement Churn Risk,2710.14,0
ID-006708,0.5254,1,High,Low Engagement Churn Risk,1165.28,1
ID-007002,0.5252,1,High,Low Engagement Churn Risk,4064.68,0
ID-000343,0.5249,1,High,Low Engagement Churn Risk,1974.6,1
ID-005258,0.5242,1,High,Low Engagement Churn Risk,1637.18,1
ID-000228,0.5241,1,High,High Value Loyalists,4508.07,1
ID-004569,0.524,1,High,Low Engagement Churn Risk,940.33,1
ID-003692,0.524,1,High,Low Engagement Churn Risk,5461.72,1
ID-004639,0.5216,1,High,Low Engagement Churn Risk,4292.69,1
ID-001692,0.5209,1,High,Low Engagement Churn Risk,4105.02,0
ID-003663,0.5207,1,High,Low Engagement Churn Risk,5123.6,0
ID-004631,0.5201,1,High,Low Engagement Churn Risk,4419.55,0
ID-001743,0.5198,1,High,Low Engagement Churn Risk,3998.5,0
ID-005814,0.5195,1,High,Low Engagement Churn Risk,1169.16,0
ID-004880,0.5177,1,High,High Value Loyalists,2569.02,1
ID-001873,0.5177,1,High,Low Engagement Churn Risk,3514.65,1
ID-000945,0.5174,1,High,Low Engagement Churn Risk,2997.5,1
ID-003075,0.5161,1,High,Low Engagement Churn Risk,5472.43,0
ID-001389,0.516,1,High,High Value Loyalists,1199.04,0
ID-006387,0.5157,1,High,High Value Loyalists,3976.1,0
ID-005821,0.515,1,High,Low Engagement Churn Risk,2116.32,0
ID-004212,0.5148,1,High,High Value Loyalists,3585.19,0
ID-005805,0.5148,1,High,Low Engagement Churn Risk,5355.53,0
ID-001102,0.5144,1,High,High Value Loyalists,966.59,0
ID-002549,0.5141,1,High,Low Engagement Churn Risk,4684.4,1
ID-005988,0.5136,1,High,Low Engagement Churn Risk,2638.41,1
ID-002993,0.513,1,High,Low Engagement Churn Risk,1337.82,0
ID-006321,0.5128,1,High,Low Engagement Churn Risk,5186.94,0
ID-000195,0.5118,1,High,Low Engagement Churn Risk,3038.02,0
ID-000600,0.5117,1,High,Low Engagement Churn Risk,4245.91,1
ID-003890,0.5116,1,High,Low Engagement Churn Risk,2680.14,0
ID-000230,0.5113,1,High,Low Engagement Churn Risk,2070.21,1
ID-005136,0.5101,1,High,Low Engagement Churn Risk,4879.08,1
ID-005530,0.509,1,High,Low Engagement Churn Risk,2021.38,1
ID-004778,0.5086,1,High,Low Engagement Churn Risk,4877.27,1
ID-004252,0.5082,1,High,Low Engagement Churn Risk,4723.44,0
ID-004773,0.5073,1,High,High Value Loyalists,5119.01,0
ID-003233,0.5073,1,High,Low Engagement Churn Risk,3620.66,1
ID-002218,0.5069,1,High,Low Engagement Churn Risk,3318.25,0
ID-002007,0.5067,1,High,Low Engagement Churn Risk,1249.58,0
ID-002978,0.5066,1,High,Low Engagement Churn Risk,3121.42,0
ID-006765,0.5063,1,High,Low Engagement Churn Risk,1000.15,0
ID-004753,0.5062,1,High,High Value Loyalists,917.91,0
ID-005098,0.5061,1,High,Low Engagement Churn Risk,3219.2,1
ID-005077,0.5059,1,High,Low Engagement Churn Risk,2332.85,1
ID-000291,0.5058,1,High,Low Engagement Churn Risk,5024.39,0
ID-000464,0.5058,1,High,Low Engagement Churn Risk,3869.53,1
ID-003163,0.5054,1,High,Low Engagement Churn Risk,906.16,0
ID-002655,0.5053,1,High,Low Engagement Churn Risk,4542.62,1
ID-006934,0.5052,1,High,Low Engagement Churn Risk,2871.07,0
ID-006659,0.5047,1,High,Low Engagement Churn Risk,4474.82,0
ID-004454,0.5045,1,High,Low Engagement Churn Risk,1663.15,0
ID-004540,0.5045,1,High,High Value Loyalists,1649.55,0
ID-000146,0.5044,1,High,Low Engagement Churn Risk,2680.34,1
ID-004837,0.5042,1,High,Low Engagement Churn Risk,3795.35,0
ID-003482,0.5041,1,High,Low Engagement Churn Risk,3103.72,0
ID-003292,0.504,1,High,Low Engagement Churn Risk,3051.42,1
ID-003264,0.5039,1,High,Low Engagement Churn Risk,2198.75,0
ID-006878,0.5037,1,High,Low Engagement Churn Risk,1973.34,0
ID-006799,0.5036,1,High,Low Engagement Churn Risk,1595.16,0
ID-006566,0.5031,1,High,Low Engagement Churn Risk,3673.28,1
ID-005173,0.5031,1,High,Low Engagement Churn Risk,2610.47,1
ID-001694,0.503,1,High,Low Engagement Churn Risk,3752.46,1
ID-004981,0.5026,1,High,Low Engagement Churn Risk,788.15,0
ID-005850,0.5024,1,High,High Value Loyalists,2923.09,1
ID-005761,0.5024,1,High,Low Engagement Churn Risk,1077.72,0
ID-004416,0.5019,1,High,Low Engagement Churn Risk,2675.2,0
ID-000804,0.5018,1,High,Low Engagement Churn Risk,2281.85,0
ID-002434,0.5015,1,High,Low Engagement Churn Risk,2987.25,0
ID-004530,0.5013,1,High,Low Engagement Churn Risk,4465.98,0
ID-004096,0.501,1,High,Low Engagement Churn Risk,5424.46,0
ID-005164,0.5008,1,High,Low Engagement Churn Risk,2706.41,0
ID-004853,0.4999,1,High,Low Engagement Churn Risk,3254.58,1
ID-002777,0.4998,1,High,Low Engagement Churn Risk,2345.07,1
ID-001520,0.4998,1,High,High Value Loyalists,6000.6,0
ID-000262,0.4993,1,High,High Value Loyalists,5545.68,1
ID-006102,0.4991,1,High,Low Engagement Churn Risk,4436.93,1
ID-001477,0.4988,1,High,High Value Loyalists,5067.28,0
ID-001791,0.4988,1,High,Low Engagement Churn Risk,1612.97,0
ID-002746,0.4988,1,High,Low Engagement Churn Risk,1882.98,0
ID-001066,0.4987,1,High,High Value Loyalists,1162.23,0
ID-004743,0.498,1,High,High Value Loyalists,4181.24,1
ID-006331,0.4978,1,High,Low Engagement Churn Risk,1236.6,0
ID-006074,0.4973,1,High,High Value Loyalists,2906.47,1
ID-000369,0.497,1,High,High Value Loyalists,4580.34,1
ID-004672,0.497,1,High,Low Engagement Churn Risk,1985.13,1
ID-004694,0.4968,1,High,Low Engagement Churn Risk,1787.51,1
ID-003403,0.4966,1,High,Low Engagement Churn Risk,3174.01,0
ID-001131,0.4963,1,High,High Value Loyalists,3957.53,1
ID-000422,0.4962,1,High,Low Engagement Churn Risk,2341.7,1
ID-001820,0.4959,1,High,Low Engagement Churn Risk,4207.98,0
ID-002780,0.4955,1,High,Low Engagement Churn Risk,2503.12,1
ID-004170,0.4953,1,High,Low Engagement Churn Risk,800.38,0
ID-006274,0.4951,1,High,Low Engagement Churn Risk,1820.11,0
ID-001259,0.4947,1,High,Low Engagement Churn Risk,5117.54,0
ID-001900,0.4944,1,High,Low Engagement Churn Risk,4312.08,1
ID-006882,0.494,1,High,Low Engagement Churn Risk,4165.83,0
ID-004969,0.4938,1,High,Low Engagement Churn Risk,3062.41,0
ID-001511,0.4938,1,High,Low Engagement Churn Risk,4314.19,1
ID-004126,0.4937,1,High,High Value Loyalists,3862.85,0
ID-004624,0.4934,1,High,Low Engagement Churn Risk,2647.27,1
ID-002977,0.4934,1,High,Low Engagement Churn Risk,1117.31,0
ID-003781,0.4934,1,High,High Value Loyalists,4595.58,0
ID-005488,0.4932,1,High,Low Engagement Churn Risk,2836.51,0
ID-004393,0.4929,1,High,High Value Loyalists,1876.99,0
ID-002165,0.4923,1,High,Low Engagement Churn Risk,4640.16,1
ID-006565,0.4919,1,High,Low Engagement Churn Risk,3768.29,0
ID-000160,0.4915,1,High,Low Engagement Churn Risk,1834.25,1
ID-003678,0.4907,1,High,Low Engagement Churn Risk,5396.05,1
ID-002730,0.4906,1,High,Low Engagement Churn Risk,1519.83,0
ID-006702,0.4901,1,High,Low Engagement Churn Risk,4065.44,1
ID-003856,0.49,1,High,High Value Loyalists,1369.09,0
ID-002604,0.4899,1,High,Low Engagement Churn Risk,2978.12,1
ID-001602,0.4892,1,High,Low Engagement Churn Risk,1807.27,1
ID-001407,0.4888,1,High,Low Engagement Churn Risk,4181.0,1
ID-004244,0.4888,1,High,Low Engagement Churn Risk,3794.51,0
ID-005982,0.4881,1,High,Low Engagement Churn Risk,3255.98,1
ID-005720,0.4879,1,High,Low Engagement Churn Risk,4503.01,0
ID-006594,0.4877,1,High,High Value Loyalists,3708.25,0
ID-002871,0.4876,1,High,Low Engagement Churn Risk,1098.78,1
ID-005475,0.4874,1,High,High Value Loyalists,1341.59,1
ID-001265,0.4874,1,High,Low Engagement Churn Risk,4661.48,1
ID-005541,0.4872,1,High,Low Engagement Churn Risk,4898.35,1
ID-004053,0.4872,1,High,Low Engagement Churn Risk,3219.19,0
ID-004300,0.4871,1,High,Low Engagement Churn Risk,1702.33,0
ID-005217,0.4869,1,High,High Value Loyalists,1505.67,1
ID-003072,0.4869,1,High,Low Engagement Churn Risk,3482.62,0
ID-004301,0.4865,1,High,Low Engagement Churn Risk,5151.07,0
ID-000474,0.4865,1,High,Low Engagement Churn Risk,1760.96,1
ID-002688,0.4864,1,High,Low Engagement Churn Risk,5090.06,0
ID-004425,0.4859,1,High,Low Engagement Churn Risk,4264.77,1
ID-000987,0.4858,1,High,Low Engagement Churn Risk,3825.58,1
ID-002238,0.4853,1,High,Low Engagement Churn Risk,2095.98,0
ID-004029,0.4852,1,High,Low Engagement Churn Risk,2176.06,0
ID-005704,0.485,1,High,High Value Loyalists,2273.2,1
ID-000985,0.4838,1,High,Low Engagement Churn Risk,1269.05,0
ID-000070,0.4827,1,High,High Value Loyalists,3465.44,0
ID-004179,0.482,1,High,Low Engagement Churn Risk,3717.07,1
ID-001883,0.4814,1,High,Low Engagement Churn Risk,1628.99,0
ID-003000,0.4808,1,High,Low Engagement Churn Risk,2089.77,0
ID-000492,0.4806,1,High,Low Engagement Churn Risk,1995.23,1
ID-003101,0.4805,1,High,High Value Loyalists,4398.79,1
ID-003610,0.4803,1,High,Low Engagement Churn Risk,5494.79,0
ID-006313,0.4801,1,High,Low Engagement Churn Risk,4637.83,0
ID-005332,0.48,1,High,Low Engagement Churn Risk,4530.71,1
ID-001036,0.4797,1,High,Low Engagement Churn Risk,4966.64,0
ID-001752,0.4796,1,High,Low Engagement Churn Risk,1728.82,0
ID-004037,0.4794,1,High,Low Engagement Churn Risk,4844.15,0
ID-004756,0.4793,1,High,Low Engagement Churn Risk,3067.89,1
ID-000201,0.4792,1,High,Low Engagement Churn Risk,2789.31,0
ID-002573,0.4791,1,High,Low Engagement Churn Risk,3647.0,0
ID-005094,0.4789,1,High,Low Engagement Churn Risk,2086.05,0
ID-006226,0.4789,1,High,Low Engagement Churn Risk,2533.62,1
ID-005417,0.4788,1,High,Low Engagement Churn Risk,2491.17,1
ID-001904,0.4781,1,High,High Value Loyalists,3456.23,0
ID-005119,0.4774,1,High,Low Engagement Churn Risk,3410.97,0
ID-002445,0.4774,1,High,Low Engagement Churn Risk,5283.57,0
ID-003636,0.4767,1,High,Low Engagement Churn Risk,3058.04,0
ID-004688,0.4765,1,High,Low Engagement Churn Risk,3019.85,1
ID-006058,0.4764,1,High,Low Engagement Churn Risk,4690.46,1
ID-002909,0.4762,1,High,Low Engagement Churn Risk,4328.11,0
ID-005228,0.4761,1,High,High Value Loyalists,5402.88,1
ID-000665,0.4761,1,High,High Value Loyalists,1403.33,0
ID-005174,0.476,1,High,Low Engagement Churn Risk,2913.66,0
ID-001828,0.476,1,High,Low Engagement Churn Risk,950.11,0
ID-005008,0.4758,1,High,Low Engagement Churn Risk,4148.34,0
ID-002518,0.4758,1,High,Low Engagement Churn Risk,3099.08,0
ID-003850,0.4747,1,High,High Value Loyalists,1708.24,0
ID-002741,0.4743,1,High,High Value Loyalists,4205.27,1
ID-006419,0.474,1,High,Low Engagement Churn Risk,3467.43,0
ID-003510,0.4738,1,High,Low Engagement Churn Risk,3878.38,1
ID-003739,0.4736,1,High,Low Engagement Churn Risk,4902.14,1
ID-001622,0.4735,1,High,Low Engagement Churn Risk,2112.59,1
ID-005718,0.4735,1,High,Low Engagement Churn Risk,2179.39,1
ID-002565,0.4733,1,High,Low Engagement Churn Risk,4995.52,1
ID-004801,0.4732,1,High,Low Engagement Churn Risk,881.64,0
ID-000244,0.4729,1,High,Low Engagement Churn Risk,2905.96,1
