customerID,gender,SeniorCitizen,Partner,Dependent,tenure_normalized,PhoneService,MultipleLines_No,MultipleLines_Yes,MultipleLines_NoPhoneService,InternetService_encoded,OnlineSecurity_No,OnlineSecurity_Yes,OnlineSecurity_NoInternet,OnlineBackup_No,OnlineBackup_Yes,OnlineBackup_NoInternet,DeviceProtection_No,DeviceProtection_Yes,DeviceProtection_NoInternet,TechSupport_No,TechSupport_Yes,TechSupport_NoInternet,StreamingTV_No,StreamingTV_Yes,StreamingTV_NoInternet,StreamingMovies_No,StreamingMovies_Yes,StreamingMovies_NoInternet,Contract_encoded,PaperlessBilling,PaymentMethod_encoded,MonthlyCharges_normalized,TotalCharges_normalized,Churn_encoded,is_new_customer_0_6m,is_established_customer_24m,is_long_tenure_48m,is_month_to_month,is_auto_pay,is_electronic_check,has_internet,security_bundle,addon_count,internet_addon_adoption_rate,charges_per_tenure_month,high_monthly_charge,high_total_value,churn_risk_proxy,tenure_x_monthlycharges,mtm_x_echeck,new_x_fiber,recency_proxy,frequency_proxy,monetary_proxy,service_depth_proxy,commitment_proxy,risk_proxy_bucket,segment_id,segment_label,monthly_value_proxy,total_value_proxy,projected_remaining_months,expected_lifetime_months,discounted_lifetime_value,retention_leverage_score
ID-000011,0,0,0,0,0.8611,1,0,0,1,2,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,3,0.2143,0.2878,0,0,1,1,1,1,0,1,0,2,0.3333,39.42,0,0,2.3,0.1845,0,0,0.1389,3,0.2437,3,2,High Risk,3,Low Engagement Churn Risk,39.43,2446.3,3.0,65.0,1877.92,956.96
ID-000012,1,0,1,0,0.7083,1,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0.7284,0.5455,1,0,1,1,1,0,0,1,1,3,0.5,90.82,1,1,2.0,0.5159,0,0,0.2917,5,0.6552,5,1,High Risk,3,Low Engagement Churn Risk,90.84,4636.75,14.0,65.0,4326.4,2191.2
ID-000013,0,1,0,0,0.4167,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,3,0.1663,0.1224,0,0,1,0,0,1,0,1,1,4,0.6667,34.63,0,0,-0.5,0.0693,0,0,0.5833,6,0.1487,6,2,Low Risk,1,At-Risk New Customers,34.629999999999995,1040.3999999999999,54.0,84.0,1961.74,1010.87
ID-000014,1,0,1,1,0.9583,1,1,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0.061,0.1958,1,0,1,1,0,0,1,1,1,2,0.3333,24.1,0,0,1.0,0.0585,0,0,0.0417,4,0.1149,4,2,Moderate Risk,0,Stable Value Seekers,24.1,1664.3,12.0,81.0,1333.57,679.78
ID-000015,0,0,0,0,0.0694,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0.6196,0.0471,1,1,0,0,0,1,0,1,1,2,0.3333,79.94,0,0,0.2,0.043,0,0,0.9306,4,0.3906,4,2,Moderate Risk,1,At-Risk New Customers,79.96000000000001,400.35,72.0,77.0,4279.56,2169.78
ID-000016,0,1,1,0,0.125,1,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,1,2,0.5378,0.0761,0,0,0,0,0,1,0,1,1,3,0.5,71.76,0,0,-1.7,0.0672,0,0,0.875,5,0.3531,5,3,Low Risk,1,At-Risk New Customers,71.78,646.85,72.0,81.0,3971.94,2015.97
ID-000017,1,1,1,0,0.9722,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0.1554,0.2765,0,0,1,1,0,0,0,0,1,3,0.0,33.54,0,0,-0.8,0.1511,0,0,0.0278,4,0.2038,4,2,Low Risk,0,Stable Value Seekers,33.54,2350.25,29.0,99.0,2101.59,1078.8
ID-000018,1,0,0,1,0.4583,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,3,0.1616,0.1328,0,0,1,0,0,1,0,0,1,4,0.0,34.16,0,0,-1.3,0.0741,0,0,0.5417,5,0.1501,5,2,Low Risk,1,At-Risk New Customers,34.16,1128.8,59.0,92.0,2048.42,1054.21
ID-000019,0,0,1,1,0.4306,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,3,0.6671,0.3092,0,0,1,0,0,1,0,0,1,2,0.0,84.69,1,0,-1.3,0.2873,0,0,0.5694,3,0.5239,3,2,Low Risk,1,At-Risk New Customers,84.71000000000001,2628.2,61.0,92.0,5079.68,2569.84
ID-000020,1,1,1,1,0.2778,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,3,0.7876,0.2279,0,0,0,0,1,1,0,1,1,2,0.3333,96.74,1,0,1.5,0.2188,0,0,0.7222,4,0.5637,4,1,High Risk,3,Low Engagement Churn Risk,96.75999999999999,1937.1499999999999,50.0,70.0,4854.31,2457.16
ID-000021,0,1,0,0,0.6111,1,1,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,2,0.6417,0.4257,0,0,1,0,0,1,0,1,1,3,0.5,82.15,1,1,-0.5,0.3921,0,0,0.3889,5,0.5553,5,2,Low Risk,0,Stable Value Seekers,82.17,3618.4500000000003,52.0,96.0,5055.73,2557.86
ID-000022,0,1,0,0,0.7639,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0.0017,0.1177,0,0,1,1,0,0,0,1,1,2,0.3333,18.17,0,0,-2.0,0.0013,0,0,0.2361,4,0.0481,4,3,Low Risk,1,At-Risk New Customers,18.17,1000.45,44.0,99.0,1138.52,597.26
ID-000023,0,0,0,0,0.3333,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0.4205,0.1697,0,0,1,0,0,0,0,0,1,1,0.0,60.04,0,0,-0.8,0.1402,0,0,0.6667,2,0.3202,2,1,Low Risk,2,High Value Loyalists,60.05,1442.4499999999998,72.0,96.0,3694.74,1867.37
ID-000024,1,0,1,0,0.2917,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0.6591,0.2075,0,0,0,0,0,1,0,1,1,2,0.3333,83.89,1,0,-0.5,0.1923,0,0,0.7083,4,0.4785,4,2,Low Risk,1,At-Risk New Customers,83.91,1763.75,63.0,84.0,4753.37,2406.68
ID-000025,0,1,1,1,0.6806,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0.4945,0.3892,0,0,1,1,1,0,0,0,1,2,0.0,67.44,0,1,1.2,0.3366,0,0,0.3194,3,0.4524,3,1,High Risk,3,Low Engagement Churn Risk,67.45,3308.2,24.0,73.0,3482.72,1769.36
ID-000026,0,1,0,1,0.9861,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,3,0.5957,0.6485,0,0,1,1,0,1,0,0,1,3,0.0,77.55,0,1,-1.3,0.5874,0,0,0.0139,4,0.6168,4,3,Low Risk,0,Stable Value Seekers,77.57,5512.25,33.0,104.0,5001.05,2538.52
ID-000027,0,0,0,0,0.4722,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0.3359,0.2065,1,0,1,0,0,0,1,1,1,3,0.5,51.58,0,0,-0.2,0.1586,0,0,0.5278,5,0.2841,5,2,Moderate Risk,1,At-Risk New Customers,51.589999999999996,1755.25,47.0,81.0,2854.73,1432.36
ID-000028,0,1,1,0,0.0278,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0.857,0.0244,0,1,0,0,0,1,0,1,1,2,0.3333,103.67,1,0,-1.0,0.0238,0,0,0.9722,4,0.524,4,3,Low Risk,1,At-Risk New Customers,103.7,207.4,72.0,74.0,5404.11,2732.06
ID-000029,1,1,0,1,0.5972,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0.6691,0.4299,0,0,1,0,0,0,0,1,1,2,0.3333,84.89,1,1,-0.8,0.3996,0,0,0.4028,4,0.5734,4,1,Low Risk,3,Low Engagement Churn Risk,84.91,3654.15,50.0,93.0,5125.33,2582.66
ID-000030,0,1,1,1,0.375,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,3,0.4548,0.2018,0,0,1,0,0,1,0,1,1,3,0.5,63.47,0,0,-1.3,0.1705,0,0,0.625,5,0.3536,5,2,Low Risk,1,At-Risk New Customers,63.48,1715.3,65.0,92.0,3806.61,1933.3
ID-000031,1,1,1,0,0.2639,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.2386,0.0936,0,0,0,0,0,0,1,0,1,2,0.0,41.85,0,0,0.2,0.063,0,0,0.7361,3,0.1806,3,1,Moderate Risk,3,Low Engagement Churn Risk,41.86,795.6,64.0,83.0,2353.16,1181.58
ID-000032,1,0,1,0,0.6667,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,1,1,0.3968,0.326,0,0,1,1,0,0,0,1,1,1,0.1667,57.67,0,0,-1.2,0.2645,0,0,0.3333,3,0.3685,3,3,Low Risk,0,Stable Value Seekers,57.68,2771.0,55.0,103.0,3698.22,1877.11
ID-000033,0,0,0,0,0.5972,0,0,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,3,0.0127,0.0976,0,0,1,0,0,1,0,1,0,1,0.1667,19.27,0,0,0.3,0.0076,0,0,0.4028,2,0.0467,2,2,Moderate Risk,2,High Value Loyalists,19.27,829.6,53.0,96.0,1185.64,602.82
ID-000034,1,1,0,1,0.1528,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0.279,0.0595,0,0,0,0,0,0,0,1,0,0,0.0,45.89,0,0,0.0,0.0426,0,0,0.8472,1,0.1912,1,1,Moderate Risk,2,High Value Loyalists,45.900000000000006,505.75,72.0,83.0,2580.27,1290.14
ID-000035,0,1,0,0,0.4861,1,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,1,0.556,0.3033,0,0,1,0,0,0,0,1,1,2,0.3333,73.58,0,0,-1.2,0.2703,0,0,0.5139,4,0.4549,4,2,Low Risk,1,At-Risk New Customers,73.60000000000001,2578.05,56.0,91.0,4384.0,2212.0
ID-000036,0,1,0,0,0.4306,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,2,0.3063,0.1775,0,0,1,0,0,1,0,1,1,3,0.5,48.62,0,0,-2.5,0.1319,0,0,0.5694,5,0.2548,5,3,Low Risk,1,At-Risk New Customers,48.63,1508.75,72.0,103.0,3117.97,1588.98
ID-000037,0,1,1,1,0.5556,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,1,0.1196,0.1411,0,0,1,0,0,0,0,1,1,3,0.5,29.96,0,0,-1.2,0.0664,0,0,0.4444,5,0.1282,5,2,Low Risk,1,At-Risk New Customers,29.96,1199.3500000000001,51.0,91.0,1784.57,912.28
ID-000038,0,1,0,0,0.9444,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0.1266,0.2455,1,0,1,1,1,0,1,0,1,2,0.0,30.66,0,0,2.2,0.1196,1,0,0.0556,3,0.1742,3,1,High Risk,3,Low Engagement Churn Risk,30.659999999999997,2086.75,3.0,71.0,1553.29,789.64
ID-000039,0,0,1,1,0.1944,1,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,3,0.8223,0.1652,0,0,0,0,0,1,0,1,0,0,0.0,100.21,1,0,0.3,0.1599,0,0,0.8056,1,0.5595,1,2,Moderate Risk,2,High Value Loyalists,100.23,1404.2,72.0,86.0,5763.49,2891.74
ID-000040,1,1,1,1,0.3889,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,3,0.7759,0.3152,1,0,1,0,0,1,0,1,1,4,0.6667,95.57,1,0,-1.3,0.3017,0,0,0.6111,6,0.5916,6,2,Low Risk,1,At-Risk New Customers,95.59,2679.2,64.0,92.0,5732.11,2896.06
ID-000041,0,1,0,1,0.9722,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,0.0751,0.2103,0,0,1,1,1,1,0,1,0,1,0.1667,25.51,0,0,1.5,0.073,0,0,0.0278,2,0.1292,2,2,High Risk,2,High Value Loyalists,25.509999999999998,1787.55,14.0,84.0,1445.1,740.55
ID-000042,0,0,0,1,0.75,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0.1148,0.1875,0,0,1,1,1,0,0,1,1,2,0.3333,29.48,0,0,1.2,0.0861,0,0,0.25,4,0.1439,4,1,High Risk,3,Low Engagement Churn Risk,29.48,1593.75,19.0,73.0,1522.17,789.08
ID-000043,1,1,0,1,0.8889,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0.5402,0.5427,0,0,1,1,0,0,1,0,1,1,0.0,72.0,0,1,0.2,0.4802,0,0,0.1111,2,0.5412,2,2,Moderate Risk,2,High Value Loyalists,72.02000000000001,4612.95,33.0,97.0,4458.66,2242.33
ID-000044,1,1,0,0,0.3194,0,1,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,3,0.9972,0.3188,1,0,0,0,0,1,0,1,0,1,0.1667,117.69,1,0,0.3,0.3185,0,0,0.6806,2,0.7258,2,2,Moderate Risk,2,High Value Loyalists,117.72,2709.7999999999997,72.0,95.0,7197.75,3608.88
ID-000045,0,1,0,0,0.8056,1,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,2,0.0881,0.1831,0,0,1,1,0,1,0,1,0,1,0.1667,26.81,0,0,0.3,0.071,0,0,0.1944,2,0.1261,2,3,Moderate Risk,2,High Value Loyalists,26.810000000000002,1556.3500000000001,38.0,96.0,1649.56,842.78
ID-000046,0,0,1,1,0.7778,1,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0.8811,0.6996,1,0,1,1,0,0,1,1,1,2,0.3333,106.08,1,1,1.0,0.6853,0,0,0.2222,4,0.8085,4,2,Moderate Risk,0,Stable Value Seekers,106.11,5946.6,25.0,81.0,5871.58,2948.79
ID-000047,1,0,1,0,0.5139,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,3,0.5091,0.3002,0,0,1,0,0,1,0,1,1,2,0.3333,68.89,0,0,-1.3,0.2616,0,0,0.4861,4,0.4255,4,2,Low Risk,1,At-Risk New Customers,68.91,2551.7000000000003,55.0,92.0,4132.23,2096.11
ID-000048,0,1,0,0,0.5278,1,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,3,0.8378,0.4554,0,0,1,0,0,1,0,1,1,2,0.3333,101.75,1,1,-1.7,0.4422,0,0,0.4722,4,0.6848,4,3,Low Risk,0,Stable Value Seekers,101.78,3870.9,70.0,108.0,6703.01,3381.5
ID-000049,0,1,1,0,0.7222,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,1,3,0.0436,0.1369,0,0,1,1,0,1,0,0,1,2,0.0,22.36,0,0,-2.5,0.0315,0,0,0.2778,3,0.0809,3,4,Low Risk,0,Stable Value Seekers,22.36,1163.6499999999999,64.0,116.0,1530.99,803.5
ID-000050,0,0,0,0,0.7222,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.8712,0.6436,0,0,1,1,1,0,1,1,1,2,0.3333,105.09,1,1,2.2,0.6292,1,0,0.2778,4,0.7802,4,1,High Risk,3,Low Engagement Churn Risk,105.12,5470.599999999999,11.0,63.0,4895.85,2460.93
ID-000051,1,1,1,0,0.5,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0.9977,0.4992,0,0,1,0,0,0,1,1,1,2,0.3333,117.74,1,1,-1.0,0.4988,0,0,0.5,4,0.7983,4,2,Low Risk,0,Stable Value Seekers,117.77000000000001,4243.2,65.0,101.0,7466.02,3738.01
ID-000052,1,0,0,0,0.4306,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2,0,1,0.5314,0.2597,0,0,1,0,0,0,0,1,1,3,0.5,71.12,0,0,-1.2,0.2288,0,0,0.5694,5,0.4227,5,2,Low Risk,1,At-Risk New Customers,71.14,2207.45,60.0,91.0,4237.47,2138.74
ID-000053,0,1,0,1,0.9583,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0.158,0.2747,0,0,1,1,0,1,0,0,0,0,0.0,33.8,0,0,-0.5,0.1514,0,0,0.0417,0,0.2047,0,3,Low Risk,2,High Value Loyalists,33.8,2334.95,35.0,104.0,2179.14,1107.57
ID-000054,1,1,0,1,0.5139,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,3,0.0219,0.088,0,0,1,0,0,1,0,1,1,1,0.1667,20.19,0,0,-2.5,0.0113,0,0,0.4861,3,0.0483,3,3,Low Risk,1,At-Risk New Customers,20.19,748.0,67.0,104.0,1301.68,680.84
ID-000055,0,0,1,1,0.2361,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0.6284,0.1618,0,0,0,0,0,0,1,1,1,1,0.1667,80.82,1,0,-1.0,0.1484,0,0,0.7639,3,0.4418,3,2,Low Risk,1,At-Risk New Customers,80.84,1375.3,72.0,89.0,4749.55,2379.78
ID-000056,0,0,0,1,0.2917,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,2,0.2571,0.1081,0,0,0,0,0,1,0,0,1,2,0.0,43.7,0,0,-1.3,0.075,0,0,0.7083,3,0.1975,3,2,Low Risk,1,At-Risk New Customers,43.71,918.85,71.0,92.0,2621.1,1340.55
ID-000057,0,0,1,1,0.6528,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,2,0.673,0.4721,0,0,1,0,0,1,0,0,0,1,0.0,85.28,1,1,-1.7,0.4393,0,0,0.3472,1,0.5926,1,3,Low Risk,2,High Value Loyalists,85.30000000000001,4012.8500000000004,69.0,116.0,5840.51,2930.26
ID-000058,0,0,1,0,0.2361,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0.0453,0.0451,0,0,0,0,1,1,0,1,1,3,0.5,22.53,0,0,0.7,0.0107,0,0,0.7639,5,0.0452,5,1,Moderate Risk,3,Low Engagement Churn Risk,22.53,383.35,61.0,78.0,1216.2,638.1
ID-000059,1,1,0,1,0.6528,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0.2174,0.2199,0,0,1,0,0,0,0,1,1,3,0.5,39.73,0,0,-0.8,0.1419,0,0,0.3472,5,0.2184,5,1,Low Risk,1,At-Risk New Customers,39.74,1869.15,40.0,87.0,2301.88,1170.94
ID-000060,1,0,0,1,0.5833,1,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0.2437,0.2095,1,0,1,0,1,0,0,1,1,3,0.5,42.36,0,0,2.0,0.1422,0,0,0.4167,5,0.23,5,0,High Risk,3,Low Engagement Churn Risk,42.370000000000005,1780.75,23.0,65.0,2017.94,1028.97
ID-000061,1,1,1,0,0.0417,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0.1318,0.011,0,1,0,0,0,0,0,0,1,2,0.0,31.18,0,0,0.7,0.0055,0,0,0.9583,3,0.0835,3,1,Moderate Risk,3,Low Engagement Churn Risk,31.18,93.5,72.0,75.0,1639.66,839.83
ID-000062,0,1,0,0,0.8889,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0.2216,0.3026,1,0,1,1,0,0,1,0,0,2,0.0,40.15,0,0,-0.2,0.197,0,0,0.1111,2,0.254,2,3,Moderate Risk,2,High Value Loyalists,40.16,2572.1,37.0,101.0,2545.94,1265.97
ID-000063,0,1,0,1,0.5694,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.6085,0.3806,0,0,1,0,1,0,0,1,0,1,0.1667,78.83,0,1,2.0,0.3465,0,0,0.4306,2,0.5173,2,0,High Risk,2,High Value Loyalists,78.85,3235.1,38.0,79.0,4292.36,2146.18
ID-000064,0,0,0,1,0.7639,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3,0.4517,0.4091,0,0,1,1,1,1,0,1,1,3,0.5,63.16,0,1,0.7,0.3451,0,0,0.2361,5,0.4347,5,2,Moderate Risk,0,Stable Value Seekers,63.17,3477.3500000000004,29.0,84.0,3578.48,1827.24
ID-000065,0,0,1,0,0.1667,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0.7448,0.1307,0,0,0,0,0,0,0,0,1,3,0.0,92.46,1,0,-0.8,0.1242,0,0,0.8333,4,0.4992,4,1,Low Risk,1,At-Risk New Customers,92.48,1110.95,72.0,84.0,5238.85,2639.42
ID-000066,1,1,0,1,0.2639,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.6569,0.1872,0,0,0,0,1,0,1,1,0,0,0.0,83.67,1,0,3.0,0.1734,1,0,0.7361,1,0.469,1,0,Critical Risk,2,High Value Loyalists,83.69,1591.2,50.0,69.0,4156.9,2063.45
ID-000067,0,0,0,0,0.0,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,3,0.1815,0.0,1,1,0,0,1,1,0,1,1,1,0.1667,0.0,0,0,3.0,0.0,0,1,1.0,3,0.1089,3,1,Critical Risk,3,Low Engagement Churn Risk,36.15,0.0,55.0,55.0,1523.62,791.81
