customerID,gender,SeniorCitizen,Partner,Dependent,tenure_normalized,PhoneService,MultipleLines_No,MultipleLines_Yes,MultipleLines_NoPhoneService,InternetService_encoded,OnlineSecurity_No,OnlineSecurity_Yes,OnlineSecurity_NoInternet,OnlineBackup_No,OnlineBackup_Yes,OnlineBackup_NoInternet,DeviceProtection_No,DeviceProtection_Yes,DeviceProtection_NoInternet,TechSupport_No,TechSupport_Yes,TechSupport_NoInternet,StreamingTV_No,StreamingTV_Yes,StreamingTV_NoInternet,StreamingMovies_No,StreamingMovies_Yes,StreamingMovies_NoInternet,Contract_encoded,PaperlessBilling,PaymentMethod_encoded,MonthlyCharges_normalized,TotalCharges_normalized,Churn_encoded
ID-000068,0,1,0,0,0.1389,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0.8836,0.1252,1
ID-000069,1,0,1,0,0.5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,1,3,0.6784,0.3639,0
ID-000070,1,1,0,1,0.0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0.4975,0.0,0
ID-000071,0,0,1,0,0.7083,1,0,1,0,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,0.7097,0.5343,0
ID-000072,0,0,0,1,0.1389,1,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,2,0.3959,0.0678,0
ID-000073,0,1,0,1,0.2639,0,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0.7604,0.2104,0
ID-000074,1,0,0,0,0.4861,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0.5916,0.318,0
ID-000075,0,0,1,0,0.8333,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,3,0.5016,0.4815,0
ID-000076,1,1,0,1,0.0833,1,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,2,0.7894,0.0685,0
ID-000077,1,0,0,0,0.6944,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0.129,0.182,0
ID-000078,0,1,1,1,0.8611,1,0,0,1,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0.1921,0.2716,0
ID-000079,0,0,1,0,0.0694,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0.411,0.0348,0
ID-000080,1,1,0,1,0.7361,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.9666,0.7155,1
ID-000081,1,1,0,1,0.1528,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,3,0.9467,0.1459,1
ID-000082,1,1,0,1,0.25,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,3,0.1376,0.0673,0
ID-000083,0,1,1,1,0.1944,1,1,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0.7764,0.1577,0
ID-000084,0,1,0,0,0.4167,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0.5709,0.2652,1
ID-000085,0,0,1,1,0.1806,1,0,0,1,2,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,2,0.7717,0.1457,0
ID-000086,0,1,0,1,0.0694,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0.7913,0.0572,0
ID-000087,1,1,0,1,0.7778,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,2,0.8949,0.7087,0
ID-000088,1,0,0,0,0.1806,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,2,0.0801,0.0398,0
ID-000089,0,0,0,0,0.7083,1,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,1,0.3634,0.3263,0
ID-000090,1,1,0,0,0.6528,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.444,0.3453,1
ID-000091,1,0,0,0,0.5,1,0,0,1,2,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.6942,0.3706,0
ID-000092,0,1,0,1,0.3056,1,0,1,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1,1,0.7939,0.2523,0
ID-000093,1,1,1,1,0.8472,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0.5259,0.507,0
ID-000094,0,1,1,0,0.5278,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0.1647,0.1543,0
ID-000095,0,0,1,0,0.2639,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,2,1,2,0.1713,0.0786,0
ID-000096,1,0,0,1,0.5278,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,1,3,0.483,0.2967,0
ID-000097,1,1,0,0,0.2222,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0.7609,0.1773,0
ID-000098,0,1,1,1,0.5556,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0.1899,0.1742,0
ID-000099,1,1,0,0,0.8333,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.2858,0.3291,0
ID-000100,1,0,1,1,0.2083,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0.1287,0.0545,0
ID-000101,0,1,0,0,0.2639,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,2,1,1,0.6065,0.1759,0
ID-000102,1,1,1,0,0.1944,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,2,1,2,0.9802,0.1912,0
ID-000103,0,0,1,0,0.25,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0.8219,0.2124,0
ID-000104,0,1,0,0,0.9167,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,3,0.2074,0.301,0
ID-000105,0,1,0,1,0.5278,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,1,0.7714,0.4257,0
ID-000106,0,0,1,1,0.5,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0.9556,0.4813,0
ID-000107,1,0,0,0,0.4028,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,2,0.0525,0.0794,0
ID-000108,1,0,0,0,0.0972,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0.9082,0.0897,0
ID-000109,1,0,1,0,1.0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,2,0.603,0.6638,0
ID-000110,1,1,0,1,0.3194,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,2,0.0141,0.0526,0
ID-000111,1,1,1,0,0.4583,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,2,0.3837,0.219,0
ID-000112,0,0,0,0,0.5417,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,2,1,2,0.6905,0.3997,0
ID-000113,0,0,1,1,0.7917,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0.5284,0.4754,0
ID-000114,1,0,1,1,0.2222,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0.5134,0.1306,0
ID-000115,0,1,0,0,0.1111,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0.9864,0.1099,0
ID-000116,0,0,0,0,0.6111,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,1,3,0.1186,0.1547,0
ID-000117,1,0,0,1,0.3333,1,0,0,1,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0.9377,0.3158,1
ID-000118,1,1,0,0,0.9583,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.2174,0.3229,0
ID-000119,1,1,0,1,0.75,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0.5561,0.468,0
ID-000120,0,1,1,1,0.9861,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0.4128,0.4956,0
ID-000121,1,0,0,1,0.0694,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0.8739,0.062,1
ID-000122,0,1,0,1,0.6667,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,2,0.4664,0.3654,0
ID-000123,0,0,0,0,0.25,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,2,0,3,0.0162,0.0416,0
ID-000124,1,0,1,1,0.2917,1,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0.733,0.2258,0
ID-000125,0,1,1,1,0.1111,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0.7074,0.0836,1
ID-000126,0,0,0,0,0.7639,1,1,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.8064,0.6388,1
ID-000127,1,1,1,0,0.3889,0,0,0,1,2,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.3001,0.1583,1
ID-000128,1,0,1,1,0.0694,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,3,0.2299,0.0241,0
ID-000129,1,1,0,0,1.0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,2,0.835,0.8604,0
ID-000130,1,0,1,1,0.4028,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,3,0.3559,0.183,0
ID-000131,0,1,0,0,0.6806,1,0,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.3168,0.2866,1
ID-000132,0,0,0,0,0.5694,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,2,0.864,0.504,1
ID-000133,1,0,0,0,0.7361,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0.2999,0.2995,1
ID-000134,0,1,1,0,0.2361,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,0,1,0.3005,0.0962,0
ID-000135,1,0,0,0,0.3472,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,1,0.5924,0.2274,0
ID-000136,0,1,1,1,0.2639,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0.7154,0.2003,0
ID-000137,1,0,0,0,0.0694,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,2,1,3,0.5634,0.0438,0
ID-000138,0,0,0,0,0.2639,0,0,1,0,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,3,0.3451,0.1175,0
ID-000139,1,0,1,1,0.1667,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,2,1,3,0.4383,0.0874,0
ID-000140,1,1,0,0,0.8194,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0.232,0.2862,0
ID-000141,0,0,0,0,0.1111,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0.5775,0.0714,0
ID-000142,1,0,0,0,0.5278,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,1,0,0.919,0.4917,0
ID-000143,1,0,0,1,0.9444,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0.6936,0.6995,0
ID-000144,1,0,0,1,0.875,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,3,0.4092,0.4371,0
ID-000145,1,0,0,1,1.0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.7427,0.7822,0
ID-000146,1,1,1,1,0.1528,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4392,0.0802,1
ID-000147,1,0,0,1,0.5694,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,2,0.9793,0.5596,0
ID-000148,1,0,0,0,0.6944,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,2,0.4896,0.3942,0
ID-000149,0,1,0,0,0.1528,1,0,0,1,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,2,0.7311,0.118,0
ID-000150,1,0,0,1,0.0694,0,0,1,0,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0.0996,0.0165,1
ID-000151,1,0,1,1,0.6528,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,1,0.6647,0.4675,1
ID-000152,1,1,1,0,0.7778,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,1,2,0.0093,0.1248,0
ID-000153,1,1,0,0,0.25,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,0,0.0684,0.0527,0
ID-000154,0,0,1,0,0.6806,1,0,0,1,2,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,2,0.3516,0.3067,0
ID-000155,1,1,0,0,0.6944,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0.2956,0.28,1
ID-000156,0,0,0,0,0.3056,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.7629,0.2443,1
ID-000157,1,0,0,0,0.9444,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0.6162,0.6375,0
ID-000158,1,0,1,0,0.8056,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,2,0.6125,0.5412,1
ID-000159,1,0,0,0,0.6528,0,0,1,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0.1269,0.1699,0
ID-000160,1,0,0,0,0.2778,0,0,1,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.2552,0.1025,1
