customerID,gender,SeniorCitizen,Partner,Dependent,tenure_normalized,PhoneService,MultipleLines_No,MultipleLines_Yes,MultipleLines_NoPhoneService,InternetService_encoded,OnlineSecurity_No,OnlineSecurity_Yes,OnlineSecurity_NoInternet,OnlineBackup_No,OnlineBackup_Yes,OnlineBackup_NoInternet,DeviceProtection_No,DeviceProtection_Yes,DeviceProtection_NoInternet,TechSupport_No,TechSupport_Yes,TechSupport_NoInternet,StreamingTV_No,StreamingTV_Yes,StreamingTV_NoInternet,StreamingMovies_No,StreamingMovies_Yes,StreamingMovies_NoInternet,Contract_encoded,PaperlessBilling,PaymentMethod_encoded,MonthlyCharges_normalized,TotalCharges_normalized,Churn_encoded,is_new_customer_0_6m,is_established_customer_24m,is_long_tenure_48m,is_month_to_month,is_auto_pay,is_electronic_check,has_internet,security_bundle,addon_count,internet_addon_adoption_rate,charges_per_tenure_month,high_monthly_charge,high_total_value,churn_risk_proxy,tenure_x_monthlycharges,mtm_x_echeck,new_x_fiber,recency_proxy,frequency_proxy,monetary_proxy,service_depth_proxy,commitment_proxy,risk_proxy_bucket,segment_id,segment_label
ID-000013,0,1,0,0,0.4167,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,3,0.1663,0.1224,0,0,1,0,0,1,0,1,1,4,0.6667,34.63,0,0,-0.5,0.0693,0,0,0.5833,6,0.1487,6,2,Low Risk,1,At-Risk New Customers
ID-000014,1,0,1,1,0.9583,1,1,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0.061,0.1958,1,0,1,1,0,0,1,1,1,2,0.3333,24.1,0,0,1.0,0.0585,0,0,0.0417,4,0.1149,4,2,Moderate Risk,0,Stable Value Seekers
ID-000015,0,0,0,0,0.0694,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0.6196,0.0471,1,1,0,0,0,1,0,1,1,2,0.3333,79.94,0,0,0.2,0.043,0,0,0.9306,4,0.3906,4,2,Moderate Risk,1,At-Risk New Customers
ID-000016,0,1,1,0,0.125,1,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,1,2,0.5378,0.0761,0,0,0,0,0,1,0,1,1,3,0.5,71.76,0,0,-1.7,0.0672,0,0,0.875,5,0.3531,5,3,Low Risk,1,At-Risk New Customers
ID-000017,1,1,1,0,0.9722,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0.1554,0.2765,0,0,1,1,0,0,0,0,1,3,0.0,33.54,0,0,-0.8,0.1511,0,0,0.0278,4,0.2038,4,2,Low Risk,0,Stable Value Seekers
ID-000018,1,0,0,1,0.4583,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,3,0.1616,0.1328,0,0,1,0,0,1,0,0,1,4,0.0,34.16,0,0,-1.3,0.0741,0,0,0.5417,5,0.1501,5,2,Low Risk,1,At-Risk New Customers
ID-000019,0,0,1,1,0.4306,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,3,0.6671,0.3092,0,0,1,0,0,1,0,0,1,2,0.0,84.69,1,0,-1.3,0.2873,0,0,0.5694,3,0.5239,3,2,Low Risk,1,At-Risk New Customers
ID-000020,1,1,1,1,0.2778,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,3,0.7876,0.2279,0,0,0,0,1,1,0,1,1,2,0.3333,96.74,1,0,1.5,0.2188,0,0,0.7222,4,0.5637,4,1,High Risk,3,Low Engagement Churn Risk
ID-000021,0,1,0,0,0.6111,1,1,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,2,0.6417,0.4257,0,0,1,0,0,1,0,1,1,3,0.5,82.15,1,1,-0.5,0.3921,0,0,0.3889,5,0.5553,5,2,Low Risk,0,Stable Value Seekers
ID-000022,0,1,0,0,0.7639,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0.0017,0.1177,0,0,1,1,0,0,0,1,1,2,0.3333,18.17,0,0,-2.0,0.0013,0,0,0.2361,4,0.0481,4,3,Low Risk,1,At-Risk New Customers
ID-000023,0,0,0,0,0.3333,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0.4205,0.1697,0,0,1,0,0,0,0,0,1,1,0.0,60.04,0,0,-0.8,0.1402,0,0,0.6667,2,0.3202,2,1,Low Risk,2,High Value Loyalists
ID-000024,1,0,1,0,0.2917,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0.6591,0.2075,0,0,0,0,0,1,0,1,1,2,0.3333,83.89,1,0,-0.5,0.1923,0,0,0.7083,4,0.4785,4,2,Low Risk,1,At-Risk New Customers
ID-000025,0,1,1,1,0.6806,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0.4945,0.3892,0,0,1,1,1,0,0,0,1,2,0.0,67.44,0,1,1.2,0.3366,0,0,0.3194,3,0.4524,3,1,High Risk,3,Low Engagement Churn Risk
ID-000026,0,1,0,1,0.9861,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,3,0.5957,0.6485,0,0,1,1,0,1,0,0,1,3,0.0,77.55,0,1,-1.3,0.5874,0,0,0.0139,4,0.6168,4,3,Low Risk,0,Stable Value Seekers
ID-000027,0,0,0,0,0.4722,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0.3359,0.2065,1,0,1,0,0,0,1,1,1,3,0.5,51.58,0,0,-0.2,0.1586,0,0,0.5278,5,0.2841,5,2,Moderate Risk,1,At-Risk New Customers
ID-000028,0,1,1,0,0.0278,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0.857,0.0244,0,1,0,0,0,1,0,1,1,2,0.3333,103.67,1,0,-1.0,0.0238,0,0,0.9722,4,0.524,4,3,Low Risk,1,At-Risk New Customers
ID-000029,1,1,0,1,0.5972,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0.6691,0.4299,0,0,1,0,0,0,0,1,1,2,0.3333,84.89,1,1,-0.8,0.3996,0,0,0.4028,4,0.5734,4,1,Low Risk,3,Low Engagement Churn Risk
ID-000030,0,1,1,1,0.375,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,3,0.4548,0.2018,0,0,1,0,0,1,0,1,1,3,0.5,63.47,0,0,-1.3,0.1705,0,0,0.625,5,0.3536,5,2,Low Risk,1,At-Risk New Customers
ID-000031,1,1,1,0,0.2639,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.2386,0.0936,0,0,0,0,0,0,1,0,1,2,0.0,41.85,0,0,0.2,0.063,0,0,0.7361,3,0.1806,3,1,Moderate Risk,3,Low Engagement Churn Risk
ID-000032,1,0,1,0,0.6667,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,1,1,0.3968,0.326,0,0,1,1,0,0,0,1,1,1,0.1667,57.67,0,0,-1.2,0.2645,0,0,0.3333,3,0.3685,3,3,Low Risk,0,Stable Value Seekers
ID-000033,0,0,0,0,0.5972,0,0,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,3,0.0127,0.0976,0,0,1,0,0,1,0,1,0,1,0.1667,19.27,0,0,0.3,0.0076,0,0,0.4028,2,0.0467,2,2,Moderate Risk,2,High Value Loyalists
ID-000034,1,1,0,1,0.1528,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0.279,0.0595,0,0,0,0,0,0,0,1,0,0,0.0,45.89,0,0,0.0,0.0426,0,0,0.8472,1,0.1912,1,1,Moderate Risk,2,High Value Loyalists
ID-000035,0,1,0,0,0.4861,1,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,1,0.556,0.3033,0,0,1,0,0,0,0,1,1,2,0.3333,73.58,0,0,-1.2,0.2703,0,0,0.5139,4,0.4549,4,2,Low Risk,1,At-Risk New Customers
ID-000036,0,1,0,0,0.4306,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,2,0.3063,0.1775,0,0,1,0,0,1,0,1,1,3,0.5,48.62,0,0,-2.5,0.1319,0,0,0.5694,5,0.2548,5,3,Low Risk,1,At-Risk New Customers
ID-000037,0,1,1,1,0.5556,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,1,0.1196,0.1411,0,0,1,0,0,0,0,1,1,3,0.5,29.96,0,0,-1.2,0.0664,0,0,0.4444,5,0.1282,5,2,Low Risk,1,At-Risk New Customers
ID-000038,0,1,0,0,0.9444,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0.1266,0.2455,1,0,1,1,1,0,1,0,1,2,0.0,30.66,0,0,2.2,0.1196,1,0,0.0556,3,0.1742,3,1,High Risk,3,Low Engagement Churn Risk
ID-000039,0,0,1,1,0.1944,1,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,3,0.8223,0.1652,0,0,0,0,0,1,0,1,0,0,0.0,100.21,1,0,0.3,0.1599,0,0,0.8056,1,0.5595,1,2,Moderate Risk,2,High Value Loyalists
ID-000040,1,1,1,1,0.3889,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,3,0.7759,0.3152,1,0,1,0,0,1,0,1,1,4,0.6667,95.57,1,0,-1.3,0.3017,0,0,0.6111,6,0.5916,6,2,Low Risk,1,At-Risk New Customers
ID-000041,0,1,0,1,0.9722,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,0.0751,0.2103,0,0,1,1,1,1,0,1,0,1,0.1667,25.51,0,0,1.5,0.073,0,0,0.0278,2,0.1292,2,2,High Risk,2,High Value Loyalists
ID-000042,0,0,0,1,0.75,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0.1148,0.1875,0,0,1,1,1,0,0,1,1,2,0.3333,29.48,0,0,1.2,0.0861,0,0,0.25,4,0.1439,4,1,High Risk,3,Low Engagement Churn Risk
ID-000043,1,1,0,1,0.8889,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0.5402,0.5427,0,0,1,1,0,0,1,0,1,1,0.0,72.0,0,1,0.2,0.4802,0,0,0.1111,2,0.5412,2,2,Moderate Risk,2,High Value Loyalists
ID-000044,1,1,0,0,0.3194,0,1,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,3,0.9972,0.3188,1,0,0,0,0,1,0,1,0,1,0.1667,117.69,1,0,0.3,0.3185,0,0,0.6806,2,0.7258,2,2,Moderate Risk,2,High Value Loyalists
ID-000045,0,1,0,0,0.8056,1,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,2,0.0881,0.1831,0,0,1,1,0,1,0,1,0,1,0.1667,26.81,0,0,0.3,0.071,0,0,0.1944,2,0.1261,2,3,Moderate Risk,2,High Value Loyalists
ID-000046,0,0,1,1,0.7778,1,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0.8811,0.6996,1,0,1,1,0,0,1,1,1,2,0.3333,106.08,1,1,1.0,0.6853,0,0,0.2222,4,0.8085,4,2,Moderate Risk,0,Stable Value Seekers
ID-000047,1,0,1,0,0.5139,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,3,0.5091,0.3002,0,0,1,0,0,1,0,1,1,2,0.3333,68.89,0,0,-1.3,0.2616,0,0,0.4861,4,0.4255,4,2,Low Risk,1,At-Risk New Customers
ID-000048,0,1,0,0,0.5278,1,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,3,0.8378,0.4554,0,0,1,0,0,1,0,1,1,2,0.3333,101.75,1,1,-1.7,0.4422,0,0,0.4722,4,0.6848,4,3,Low Risk,0,Stable Value Seekers
ID-000049,0,1,1,0,0.7222,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,1,3,0.0436,0.1369,0,0,1,1,0,1,0,0,1,2,0.0,22.36,0,0,-2.5,0.0315,0,0,0.2778,3,0.0809,3,4,Low Risk,0,Stable Value Seekers
ID-000050,0,0,0,0,0.7222,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.8712,0.6436,0,0,1,1,1,0,1,1,1,2,0.3333,105.09,1,1,2.2,0.6292,1,0,0.2778,4,0.7802,4,1,High Risk,3,Low Engagement Churn Risk
ID-000051,1,1,1,0,0.5,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0.9977,0.4992,0,0,1,0,0,0,1,1,1,2,0.3333,117.74,1,1,-1.0,0.4988,0,0,0.5,4,0.7983,4,2,Low Risk,0,Stable Value Seekers
ID-000052,1,0,0,0,0.4306,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2,0,1,0.5314,0.2597,0,0,1,0,0,0,0,1,1,3,0.5,71.12,0,0,-1.2,0.2288,0,0,0.5694,5,0.4227,5,2,Low Risk,1,At-Risk New Customers
ID-000053,0,1,0,1,0.9583,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0.158,0.2747,0,0,1,1,0,1,0,0,0,0,0.0,33.8,0,0,-0.5,0.1514,0,0,0.0417,0,0.2047,0,3,Low Risk,2,High Value Loyalists
ID-000054,1,1,0,1,0.5139,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,3,0.0219,0.088,0,0,1,0,0,1,0,1,1,1,0.1667,20.19,0,0,-2.5,0.0113,0,0,0.4861,3,0.0483,3,3,Low Risk,1,At-Risk New Customers
ID-000055,0,0,1,1,0.2361,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0.6284,0.1618,0,0,0,0,0,0,1,1,1,1,0.1667,80.82,1,0,-1.0,0.1484,0,0,0.7639,3,0.4418,3,2,Low Risk,1,At-Risk New Customers
ID-000056,0,0,0,1,0.2917,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,2,0.2571,0.1081,0,0,0,0,0,1,0,0,1,2,0.0,43.7,0,0,-1.3,0.075,0,0,0.7083,3,0.1975,3,2,Low Risk,1,At-Risk New Customers
ID-000057,0,0,1,1,0.6528,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,2,0.673,0.4721,0,0,1,0,0,1,0,0,0,1,0.0,85.28,1,1,-1.7,0.4393,0,0,0.3472,1,0.5926,1,3,Low Risk,2,High Value Loyalists
ID-000058,0,0,1,0,0.2361,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0.0453,0.0451,0,0,0,0,1,1,0,1,1,3,0.5,22.53,0,0,0.7,0.0107,0,0,0.7639,5,0.0452,5,1,Moderate Risk,3,Low Engagement Churn Risk
ID-000059,1,1,0,1,0.6528,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0.2174,0.2199,0,0,1,0,0,0,0,1,1,3,0.5,39.73,0,0,-0.8,0.1419,0,0,0.3472,5,0.2184,5,1,Low Risk,1,At-Risk New Customers
ID-000060,1,0,0,1,0.5833,1,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0.2437,0.2095,1,0,1,0,1,0,0,1,1,3,0.5,42.36,0,0,2.0,0.1422,0,0,0.4167,5,0.23,5,0,High Risk,3,Low Engagement Churn Risk
ID-000061,1,1,1,0,0.0417,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0.1318,0.011,0,1,0,0,0,0,0,0,1,2,0.0,31.18,0,0,0.7,0.0055,0,0,0.9583,3,0.0835,3,1,Moderate Risk,3,Low Engagement Churn Risk
ID-000062,0,1,0,0,0.8889,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0.2216,0.3026,1,0,1,1,0,0,1,0,0,2,0.0,40.15,0,0,-0.2,0.197,0,0,0.1111,2,0.254,2,3,Moderate Risk,2,High Value Loyalists
ID-000063,0,1,0,1,0.5694,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.6085,0.3806,0,0,1,0,1,0,0,1,0,1,0.1667,78.83,0,1,2.0,0.3465,0,0,0.4306,2,0.5173,2,0,High Risk,2,High Value Loyalists
ID-000064,0,0,0,1,0.7639,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3,0.4517,0.4091,0,0,1,1,1,1,0,1,1,3,0.5,63.16,0,1,0.7,0.3451,0,0,0.2361,5,0.4347,5,2,Moderate Risk,0,Stable Value Seekers
ID-000065,0,0,1,0,0.1667,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0.7448,0.1307,0,0,0,0,0,0,0,0,1,3,0.0,92.46,1,0,-0.8,0.1242,0,0,0.8333,4,0.4992,4,1,Low Risk,1,At-Risk New Customers
ID-000066,1,1,0,1,0.2639,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.6569,0.1872,0,0,0,0,1,0,1,1,0,0,0.0,83.67,1,0,3.0,0.1734,1,0,0.7361,1,0.469,1,0,Critical Risk,2,High Value Loyalists
ID-000067,0,0,0,0,0.0,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,3,0.1815,0.0,1,1,0,0,1,1,0,1,1,1,0.1667,0.0,0,0,3.0,0.0,0,1,1.0,3,0.1089,3,1,Critical Risk,3,Low Engagement Churn Risk
ID-000068,0,1,0,0,0.1389,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0.8836,0.1252,1,0,0,0,1,0,0,0,1,3,0.0,106.33,1,0,1.2,0.1227,0,0,0.8611,4,0.5802,4,0,High Risk,3,Low Engagement Churn Risk
ID-000069,1,0,1,0,0.5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,1,3,0.6784,0.3639,0,0,1,0,0,1,0,0,0,1,0.0,85.82,1,1,-1.7,0.3392,0,0,0.5,1,0.5526,1,3,Low Risk,2,High Value Loyalists
ID-000070,1,1,0,1,0.0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0.4975,0.0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0,0,2.3,0.0,0,1,1.0,1,0.2985,1,1,High Risk,2,High Value Loyalists
ID-000071,0,0,1,0,0.7083,1,0,1,0,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,0.7097,0.5343,0,0,1,1,0,1,0,1,1,1,0.1667,88.95,1,1,-0.5,0.5027,0,0,0.2917,3,0.6395,3,3,Low Risk,0,Stable Value Seekers
ID-000072,0,0,0,1,0.1389,1,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,2,0.3959,0.0678,0,0,0,0,0,1,0,1,1,4,0.6667,57.58,0,0,-0.5,0.055,0,0,0.8611,6,0.2647,6,2,Low Risk,1,At-Risk New Customers
ID-000073,0,1,0,1,0.2639,0,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0.7604,0.2104,0,0,0,0,0,0,1,1,0,0,0.0,94.02,1,0,0.6,0.2007,0,0,0.7361,1,0.5404,1,2,Moderate Risk,2,High Value Loyalists
ID-000074,1,0,0,0,0.4861,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0.5916,0.318,0,0,1,0,0,0,1,1,0,1,0.1667,77.14,0,0,1.0,0.2876,0,0,0.5139,2,0.4822,2,1,Moderate Risk,2,High Value Loyalists
ID-000075,0,0,1,0,0.8333,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,3,0.5016,0.4815,0,0,1,1,1,1,0,1,0,0,0.0,68.14,0,1,2.3,0.418,0,0,0.1667,1,0.4936,1,2,High Risk,2,High Value Loyalists
ID-000076,1,1,0,1,0.0833,1,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,2,0.7894,0.0685,0,1,0,0,0,1,0,1,1,1,0.1667,96.92,1,0,-0.2,0.0658,0,1,0.9167,3,0.501,3,3,Moderate Risk,1,At-Risk New Customers
ID-000077,1,0,0,0,0.6944,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0.129,0.182,0,0,1,1,0,0,1,1,1,2,0.3333,30.9,0,0,-1.0,0.0896,0,0,0.3056,4,0.1502,4,3,Low Risk,0,Stable Value Seekers
ID-000078,0,1,1,1,0.8611,1,0,0,1,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0.1921,0.2716,0,0,1,1,1,0,0,1,1,2,0.3333,37.2,0,0,2.0,0.1654,0,0,0.1389,4,0.2239,4,1,High Risk,3,Low Engagement Churn Risk
ID-000079,0,0,1,0,0.0694,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0.411,0.0348,0,1,0,0,0,0,0,1,0,0,0.0,59.09,0,0,0.3,0.0285,0,0,0.9306,1,0.2605,1,2,Moderate Risk,2,High Value Loyalists
