customerID,gender,SeniorCitizen,Partner,Dependent,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID-000016,Female,1,Yes,No,53,Yes,No,DSL,Yes,No internet service,No internet service,No,No,No,Month-to-month,Yes,Credit card,83.74,4438.22,No
ID-000017,Male,1,Yes,No,72,Yes,Yes,DSL,No,Yes,No,No internet service,No internet service,No,Two year,Yes,Bank transfer,117.61,8467.92,No
ID-000018,Male,0,Yes,No,13,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,Two year,No,Bank transfer,111.89,1454.57,No
ID-000019,Female,0,Yes,No,6,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No internet service,No,Two year,Yes,Electronic check,27.23,163.38,No
ID-000020,Male,0,No,Yes,9,No,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,112.51,1012.59,No
ID-000021,Male,0,Yes,Yes,71,No,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,106.41,7555.11,No
ID-000022,Male,0,No,No,48,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Bank transfer,105.22,5050.56,No
ID-000023,Female,0,Yes,No,65,Yes,No phone service,DSL,Yes,Yes,No internet service,No,No,No internet service,One year,No,Electronic check,57.97,3768.05,No
ID-000024,Male,1,Yes,Yes,49,No,No,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Two year,No,Bank transfer,107.95,5289.55,No
ID-000025,Male,0,No,No,52,Yes,No phone service,No,No,No,No internet service,Yes,No,No,Month-to-month,No,Bank transfer,50.62,2632.24,No
ID-000026,Female,0,Yes,No,59,No,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,62.18,3668.62,No
ID-000027,Male,1,No,No,9,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,63.54,571.86,No
ID-000028,Female,0,No,No,71,No,No phone service,No,No internet service,No,No internet service,No,Yes,No internet service,One year,No,Bank transfer,42.92,3047.32,No
ID-000029,Female,0,No,No,31,Yes,No phone service,DSL,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,101.99,3161.69,No
ID-000030,Male,1,No,No,49,No,No,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,Two year,No,Credit card,87.39,4282.11,No
ID-000031,Female,1,Yes,No,0,Yes,No,DSL,No,Yes,No,No,No internet service,No internet service,One year,Yes,Credit card,112.27,0,No
ID-000032,Female,0,Yes,No,16,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card,116.07,1857.12,No
ID-000033,Female,0,No,Yes,35,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,93.2,3262.0,No
ID-000034,Male,1,No,No,30,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,30.62,918.6,No
ID-000035,Male,0,Yes,No,48,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,Yes,Two year,No,Electronic check,57.67,2768.16,No
ID-000036,Female,1,Yes,No,53,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No,No,One year,No,Bank transfer,100.23,5312.19,No
ID-000037,Female,0,No,No,31,No,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer,101.07,3133.17,No
ID-000038,Male,0,No,No,71,Yes,No phone service,DSL,No internet service,No internet service,No,No,Yes,Yes,One year,Yes,Credit card,19.02,1350.42,No
ID-000039,Female,1,No,No,31,No,No phone service,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,48.62,1507.22,No
ID-000040,Male,0,No,No,68,No,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer,113.09,7690.12,No
ID-000041,Male,1,Yes,Yes,5,No,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,115.43,577.15,No
ID-000042,Male,0,Yes,No,62,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Two year,No,Credit card,25.41,1575.42,No
ID-000043,Female,1,Yes,Yes,56,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,47.74,2673.44,No
ID-000044,Female,1,Yes,Yes,0,No,No phone service,DSL,No internet service,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card,58.85,0,No
ID-000045,Female,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No,No,Yes,No,Two year,No,Credit card,72.46,1014.44,No
ID-000046,Male,0,No,No,34,No,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,68.05,2313.7,No
ID-000047,Female,0,No,No,60,Yes,No,DSL,No,No,No,No internet service,Yes,Yes,One year,No,Credit card,69.9,4194.0,No
ID-000048,Male,1,Yes,No,36,No,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,84.26,3033.36,No
ID-000049,Female,0,Yes,No,66,Yes,No,DSL,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,54.18,3575.88,No
ID-000050,Male,0,No,Yes,70,Yes,No,No,No,No internet service,No internet service,No,No,No,One year,Yes,Credit card,19.37,1355.9,No
ID-000051,Male,0,No,No,70,No,No phone service,DSL,Yes,No,No internet service,No,No internet service,No internet service,Two year,No,Mailed check,32.46,2272.2,No
ID-000052,Female,1,No,Yes,57,Yes,No phone service,DSL,Yes,No,Yes,No,No internet service,No,Two year,No,Credit card,71.86,4096.02,No
ID-000053,Female,0,No,Yes,19,No,Yes,No,Yes,No,No internet service,Yes,Yes,No,One year,No,Credit card,67.53,1283.07,No
ID-000054,Female,1,No,Yes,10,Yes,Yes,No,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card,103.18,1031.8,No
ID-000055,Male,1,Yes,No,21,No,No,DSL,Yes,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,87.4,1835.4,No
ID-000056,Male,1,Yes,Yes,10,No,No phone service,DSL,No,No,No internet service,Yes,No,No,Two year,Yes,Electronic check,78.95,789.5,No
ID-000057,Female,1,No,No,56,No,Yes,DSL,No,Yes,Yes,No,No internet service,No,Two year,No,Bank transfer,112.52,6301.12,No
ID-000058,Female,0,Yes,No,2,No,Yes,No,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,115.79,231.58,No
ID-000059,Female,0,Yes,No,5,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No internet service,Two year,No,Mailed check,48.89,244.45,No
ID-000060,Female,1,Yes,No,32,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,109.4,3500.8,No
ID-000061,Female,1,No,Yes,33,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,71.66,2364.78,No
ID-000062,Male,1,No,Yes,52,Yes,Yes,No,Yes,No,No,No,No internet service,No internet service,Two year,No,Mailed check,29.67,1542.84,No
ID-000063,Female,1,Yes,No,53,Yes,No,DSL,Yes,No,Yes,No internet service,No,No internet service,Two year,No,Electronic check,83.49,4424.97,No
ID-000064,Female,0,Yes,Yes,50,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,45.59,2279.5,No
ID-000065,Male,1,Yes,Yes,42,No,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,95.44,4008.48,No
ID-000066,Female,0,Yes,No,22,No,No,No,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card,44.54,979.88,No
ID-000067,Female,1,Yes,No,3,No,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Two year,No,Credit card,24.08,72.24,No
ID-000068,Female,0,Yes,Yes,67,No,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Credit card,47.49,3181.83,No
ID-000069,Male,1,Yes,Yes,40,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,84.51,3380.4,No
ID-000070,Female,0,No,No,52,No,Yes,No,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer,53.36,2774.72,No
ID-000071,Female,0,No,Yes,14,Yes,No,No,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,94.26,1319.64,No
ID-000072,Male,0,No,No,18,No,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,92.1,1657.8,No
ID-000073,Male,1,No,No,20,No,No phone service,DSL,No,No,Yes,No internet service,Yes,No,One year,Yes,Bank transfer,93.44,1868.8,No
ID-000074,Male,1,Yes,Yes,62,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,70.69,4382.78,No
ID-000075,Female,0,No,Yes,16,No,Yes,DSL,Yes,No,No internet service,No,No internet service,No,Two year,No,Bank transfer,56.02,896.32,No
ID-000076,Male,1,No,Yes,14,No,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,No,One year,No,Mailed check,58.5,819.0,No
ID-000077,Male,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,95.91,4028.22,No
ID-000078,Female,1,No,Yes,63,No,Yes,DSL,No,No internet service,No,No,No internet service,Yes,One year,Yes,Bank transfer,64.4,4057.2,No
ID-000079,Female,0,Yes,No,59,No,No phone service,No,No internet service,Yes,No,No internet service,No internet service,Yes,One year,No,Mailed check,63.19,3728.21,No
ID-000080,Female,0,Yes,Yes,7,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,No,One year,No,Credit card,63.05,441.35,No
ID-000081,Male,1,Yes,No,52,Yes,No phone service,No,No,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,95.45,4963.4,No
ID-000082,Female,0,Yes,No,18,No,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,109.67,1974.06,No
ID-000083,Male,1,No,Yes,2,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,54.26,108.52,No
ID-000084,Male,0,No,Yes,16,No,No,No,No internet service,Yes,No,No internet service,No,No internet service,One year,Yes,Mailed check,77.72,1243.52,No
ID-000085,Male,1,No,No,39,No,No,No,No internet service,No,Yes,Yes,No internet service,Yes,One year,Yes,Credit card,114.56,4467.84,No
ID-000086,Male,1,Yes,Yes,47,No,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,73.45,3452.15,No
ID-000087,Male,1,Yes,Yes,50,No,Yes,No,No internet service,No,Yes,Yes,Yes,No,One year,Yes,Credit card,68.2,3410.0,No
ID-000088,Male,1,Yes,Yes,57,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,79.53,4533.21,No
ID-000089,Male,0,Yes,No,14,No,Yes,No,No,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer,101.67,1423.38,No
ID-000090,Male,1,No,Yes,8,No,No,DSL,No internet service,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer,113.34,906.72,No
ID-000091,Male,1,No,Yes,17,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,22.43,381.31,No
ID-000092,Female,1,Yes,Yes,65,No,No,Fiber optic,No internet service,No,No,Yes,No,No,One year,No,Credit card,57.82,3758.3,No
ID-000093,Female,1,No,Yes,43,No,Yes,DSL,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Bank transfer,115.37,4960.91,No
ID-000094,Male,1,No,No,39,Yes,No phone service,DSL,No internet service,No,No,No internet service,Yes,Yes,Two year,No,Bank transfer,62.59,2441.01,No
ID-000095,Male,0,No,Yes,65,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,Yes,Two year,Yes,Credit card,98.11,6377.15,No
ID-000096,Male,1,No,No,47,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Two year,Yes,Bank transfer,55.2,2594.4,No
ID-000097,Female,1,Yes,Yes,33,Yes,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,No,Electronic check,88.4,2917.2,No
ID-000098,Male,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,No,Mailed check,72.22,5055.4,No
ID-000099,Female,1,No,Yes,11,Yes,No,No,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,24.57,270.27,No
ID-000100,Male,0,No,Yes,55,Yes,No,No,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Mailed check,68.29,3755.95,No
ID-000101,Male,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Two year,No,Electronic check,79.44,3018.72,No
ID-000102,Female,1,Yes,No,63,No,No,Fiber optic,No internet service,Yes,Yes,No,No,No,One year,Yes,Bank transfer,106.9,6734.7,No
ID-000103,Female,1,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,49.26,886.68,No
ID-000104,Male,1,No,Yes,49,Yes,No,No,No,No,No,No,Yes,Yes,One year,No,Mailed check,104.42,5116.58,No
ID-000105,Female,1,No,No,27,Yes,Yes,DSL,Yes,No,No internet service,No,No,No,Month-to-month,No,Electronic check,76.33,2060.91,No
ID-000106,Female,0,No,No,72,No,No phone service,No,No internet service,Yes,Yes,Yes,No,No,One year,No,Mailed check,74.18,5340.96,No
ID-000107,Male,0,Yes,Yes,25,No,No,No,No,Yes,No internet service,No internet service,Yes,No,Two year,No,Mailed check,78.25,1956.25,No
ID-000108,Female,1,No,No,50,No,Yes,DSL,No,No internet service,Yes,No,No internet service,No,Two year,Yes,Credit card,117.06,5853.0,No
ID-000109,Male,0,No,Yes,33,No,Yes,No,Yes,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,114.71,3785.43,No
ID-000110,Female,1,Yes,Yes,53,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,One year,No,Bank transfer,33.14,1756.42,No
ID-000111,Male,1,No,Yes,33,No,No,No,Yes,No internet service,No internet service,No,No,No,One year,No,Bank transfer,79.01,2607.33,No
ID-000112,Female,1,Yes,No,15,Yes,No,No,Yes,No,No,No internet service,No,No internet service,One year,Yes,Mailed check,75.35,1130.25,No
ID-000113,Female,0,Yes,Yes,68,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,No,Credit card,45.11,3067.48,No
ID-000114,Male,1,No,No,12,Yes,No,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,86.12,1033.44,No
ID-000115,Male,1,No,Yes,53,No,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,No,One year,No,Mailed check,106.22,5629.66,No
ID-000116,Male,1,Yes,No,64,No,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,64.8,4147.2,No
ID-000117,Male,0,Yes,No,54,No,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer,69.53,3754.62,No
ID-000118,Male,1,No,Yes,46,No,No phone service,No,No internet service,No,No internet service,Yes,No internet service,No,One year,Yes,Mailed check,87.28,4014.88,No
ID-000119,Female,1,No,Yes,17,Yes,No phone service,No,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,65.82,1118.94,No
ID-000120,Male,0,No,No,70,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,108.29,7580.3,No
ID-000121,Female,1,Yes,No,65,No,Yes,No,Yes,No internet service,Yes,Yes,No,No,Two year,Yes,Electronic check,59.54,3870.1,No
ID-000122,Female,1,Yes,Yes,8,No,No,DSL,No,No,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer,116.61,932.88,No
ID-000123,Male,0,Yes,Yes,15,No,No,No,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Bank transfer,35.85,537.75,No
ID-000124,Male,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,45.56,865.64,No
ID-000125,Male,0,Yes,No,5,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,58.23,291.15,No
ID-000126,Male,1,No,Yes,52,No,No phone service,No,No,No internet service,No,No internet service,No,No,Month-to-month,No,Credit card,48.05,2498.6,No
ID-000127,Male,1,Yes,No,23,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,Yes,One year,Yes,Bank transfer,93.44,2149.12,No
ID-000128,Male,0,Yes,No,10,No,No phone service,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card,110.22,1102.2,No
ID-000129,Male,0,Yes,Yes,26,No,Yes,No,No internet service,No internet service,Yes,No,Yes,No internet service,One year,No,Credit card,104.95,2728.7,No
ID-000130,Female,1,No,No,59,Yes,No phone service,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,71.37,4210.83,No
ID-000131,Female,1,Yes,Yes,2,No,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,No,Credit card,44.08,88.16,No
ID-000132,Female,0,Yes,No,62,Yes,No phone service,No,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,64.08,3972.96,No
ID-000133,Male,1,No,Yes,29,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer,24.8,719.2,No
ID-000134,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,No,Credit card,68.22,136.44,No
ID-000135,Male,1,Yes,Yes,58,Yes,No,DSL,No,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,74.5,4321.0,No
ID-000136,Female,0,Yes,Yes,63,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,102.53,6459.39,No
ID-000137,Male,1,Yes,No,40,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Two year,Yes,Electronic check,19.57,782.8,No
ID-000138,Male,1,Yes,Yes,64,No,No phone service,No,No internet service,No,No,Yes,No internet service,No,One year,No,Mailed check,92.55,5923.2,No
ID-000139,Male,1,Yes,No,45,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,73.3,3298.5,No
ID-000140,Female,1,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.66,1318.36,No
ID-000141,Female,1,Yes,No,11,No,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Two year,No,Mailed check,53.39,587.29,No
ID-000142,Male,0,Yes,No,17,No,No,DSL,No,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,44.89,763.13,No
ID-000143,Female,1,No,No,58,No,No,DSL,No internet service,No internet service,Yes,No,No,No internet service,Two year,Yes,Credit card,28.7,1664.6,No
ID-000144,Female,1,No,Yes,40,No,No,DSL,No,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,35.76,1430.4,No
ID-000145,Female,0,No,No,59,Yes,No phone service,DSL,Yes,No,No internet service,Yes,No internet service,No,One year,Yes,Credit card,112.3,6625.7,No
ID-000146,Female,0,No,Yes,61,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer,76.22,4649.42,No
ID-000147,Male,0,No,No,55,No,No,No,No internet service,No internet service,No internet service,Yes,No,Yes,One year,Yes,Bank transfer,28.59,1572.45,No
ID-000148,Male,1,No,No,53,No,Yes,No,No,No,No,Yes,No,No internet service,Two year,No,Bank transfer,110.05,5832.65,No
ID-000149,Male,0,No,Yes,8,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,One year,No,Mailed check,48.03,384.24,No
ID-000150,Female,1,Yes,Yes,51,No,No phone service,DSL,No,Yes,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,80.98,4129.98,No
ID-000151,Female,0,No,No,68,No,No phone service,DSL,No internet service,No,No internet service,Yes,No,No,One year,Yes,Bank transfer,36.7,2495.6,No
ID-000152,Male,1,Yes,Yes,10,No,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,One year,No,Mailed check,85.21,852.1,No
ID-000153,Male,0,No,No,62,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card,81.55,5056.1,No
ID-000154,Female,1,No,No,71,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,68.54,4866.34,No
ID-000155,Female,0,Yes,No,58,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Two year,Yes,Bank transfer,74.57,4325.06,No
ID-000156,Male,1,Yes,Yes,4,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,62.97,251.88,No
ID-000157,Female,0,No,No,26,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,Yes,One year,Yes,Mailed check,98.54,2562.04,No
ID-000158,Male,1,No,Yes,31,No,No phone service,DSL,No,No,Yes,No internet service,Yes,No,Two year,No,Bank transfer,32.62,1011.22,No
ID-000159,Male,0,No,No,58,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,113.03,6555.74,No
ID-000160,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,103.24,7433.28,No
ID-000161,Male,1,Yes,Yes,35,No,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,27.33,956.55,No
ID-000162,Male,1,Yes,Yes,27,No,Yes,DSL,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,65.68,1773.36,No
ID-000163,Female,0,Yes,Yes,40,Yes,No phone service,No,Yes,No,No,No internet service,Yes,No internet service,Two year,Yes,Credit card,54.76,2190.4,No
ID-000164,Male,0,Yes,No,56,No,No,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,No,Electronic check,104.0,5824.0,No
ID-000165,Male,1,No,Yes,38,Yes,No,DSL,Yes,Yes,No,No internet service,No internet service,Yes,Two year,Yes,Bank transfer,38.54,1464.52,No
ID-000166,Female,1,Yes,No,40,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card,31.2,1248.0,No
ID-000167,Male,1,Yes,No,54,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,Two year,Yes,Bank transfer,88.18,4761.72,No
ID-000168,Male,0,Yes,No,55,Yes,No,No,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,91.0,5005.0,No
ID-000169,Male,1,No,No,1,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,One year,No,Electronic check,88.79,88.79,No
ID-000170,Male,1,No,No,33,Yes,No,No,Yes,No,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,89.23,2944.59,No
ID-000171,Male,0,Yes,No,65,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,18.26,1186.9,No
ID-000172,Female,0,No,Yes,31,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,One year,No,Electronic check,59.63,1848.53,No
ID-000173,Female,1,Yes,No,70,No,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,63.67,4456.9,No
ID-000174,Male,1,Yes,No,69,No,Yes,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Two year,No,Electronic check,52.64,3632.16,No
ID-000175,Female,1,No,Yes,5,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,Yes,One year,Yes,Mailed check,110.13,550.65,No
ID-000176,Female,1,No,No,37,No,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card,44.1,1631.7,No
ID-000177,Male,1,No,No,40,No,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,58.65,2346.0,No
ID-000178,Female,1,Yes,No,18,No,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,27.12,488.16,No
ID-000179,Male,0,Yes,No,17,No,No phone service,No,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,30.15,512.55,No
ID-000180,Female,0,Yes,No,56,Yes,Yes,No,No,No internet service,No,No,Yes,No,Two year,No,Mailed check,98.93,5540.08,No
